Município 1,Município 2,Distancia (km),Distancia Euclidiana,População 1,População 2,Pos_X 1,Pos_Y 1,Pos_X 2,Pos_Y 2
Montalegre,Terras de Bouro,62,28,9261,6358,-7.851366514837408,41.7755870474121,-8.191185967648028,41.73907448233692
Terras de Bouro,Montalegre,62,28,6358,9261,-8.191185967648028,41.73907448233692,-7.851366514837408,41.7755870474121
Montalegre,Vieira do Minho,52,26,9261,11956,-7.851366514837408,41.7755870474121,-8.103965649075766,41.63148067843542
Vieira do Minho,Montalegre,52,26,11956,9261,-8.103965649075766,41.63148067843542,-7.851366514837408,41.7755870474121
Montalegre,Cabeceiras de Basto,78,28,9261,15560,-7.851366514837408,41.7755870474121,-7.953908100076553,41.54017003262393
Cabeceiras de Basto,Montalegre,78,28,15560,9261,-7.953908100076553,41.54017003262393,-7.851366514837408,41.7755870474121
Montalegre,Chaves,55,34,9261,37592,-7.851366514837408,41.7755870474121,-7.437068214312391,41.75020740128188
Chaves,Montalegre,55,34,37592,9261,-7.437068214312391,41.75020740128188,-7.851366514837408,41.7755870474121
Montalegre,Boticas,36,15,9261,5000,-7.851366514837408,41.7755870474121,-7.7340184840106465,41.67594685458842
Boticas,Montalegre,36,15,5000,9261,-7.7340184840106465,41.67594685458842,-7.851366514837408,41.7755870474121
Guarda,Sabugal,26,24,40126,11283,-7.245049962709149,40.51952001463609,-7.0324605759737455,40.37328068028741
Sabugal,Guarda,26,24,11283,40126,-7.0324605759737455,40.37328068028741,-7.245049962709149,40.51952001463609
Guarda,Almeida,30,30,40126,5887,-7.245049962709149,40.51952001463609,-6.9139976335511415,40.62296668508492
Almeida,Guarda,30,30,5887,40126,-6.9139976335511415,40.62296668508492,-7.245049962709149,40.51952001463609
Guarda,Celorico da Beira,25,16,40126,6584,-7.245049962709149,40.51952001463609,-7.384944300028275,40.62230503447137
Celorico da Beira,Guarda,25,16,6584,40126,-7.384944300028275,40.62230503447137,-7.245049962709149,40.51952001463609
Guarda,Gouveia,54,28,40126,12223,-7.245049962709149,40.51952001463609,-7.580322766319451,40.50137511635114
Gouveia,Guarda,54,28,12223,40126,-7.580322766319451,40.50137511635114,-7.245049962709149,40.51952001463609
Guarda,Manteigas,40,27,40126,2909,-7.245049962709149,40.51952001463609,-7.520058748516354,40.39114451633846
Manteigas,Guarda,40,27,2909,40126,-7.520058748516354,40.39114451633846,-7.245049962709149,40.51952001463609
Guarda,Pinhel,30,27,40126,8092,-7.245049962709149,40.51952001463609,-7.110138308597869,40.74193412974325
Pinhel,Guarda,30,27,8092,40126,-7.110138308597869,40.74193412974325,-7.245049962709149,40.51952001463609
Guarda,Belmonte,28,22,40126,6205,-7.245049962709149,40.51952001463609,-7.329672759835621,40.330772441100336
Belmonte,Guarda,28,22,6205,40126,-7.329672759835621,40.330772441100336,-7.245049962709149,40.51952001463609
Guarda,Covilhã,47,40,40126,46457,-7.245049962709149,40.51952001463609,-7.562608695921052,40.25671498955834
